0.696599	1.265488	
2.147846	2.739955	
3.610703	4.179592	
5.027120	5.770159	
5.990748	6.582857	
7.012426	7.999274	
8.475283	9.450522	
9.868481	10.855329	
11.203628	11.342948	
11.505488	11.691247	
11.807347	12.353016	
12.875465	13.757823	
14.326712	15.255510	
15.777959	16.741587	
17.438186	17.589116	
18.146395	18.657234	
19.609252	20.108481	
21.048889	21.640998	
22.523356	22.918095	
23.115465	23.301224	
23.394104	23.452154	
23.986213	24.682812	
25.437460	26.145669	
26.911927	27.620136	
28.583764	28.653424	
29.291973	29.384853	
29.826032	29.988571	
